,timestamp,temperature
146,2015-12-13 19:00:00,8.8
147,2015-12-13 20:00:00,8.3
148,2015-12-13 21:00:00,8.0
149,2015-12-13 22:00:00,7.4
150,2015-12-13 23:00:00,7.6
151,2015-12-14 00:00:00,7.3
152,2015-12-14 01:00:00,7.7
153,2015-12-14 02:00:00,8.2
154,2015-12-14 03:00:00,7.7
155,2015-12-14 04:00:00,7.2
156,2015-12-14 05:00:00,7.2
157,2015-12-14 06:00:00,7.1
158,2015-12-14 07:00:00,6.5
159,2015-12-14 08:00:00,6.2
160,2015-12-14 09:00:00,6.5
161,2015-12-14 11:00:00,9.4
162,2015-12-14 12:00:00,11.3
163,2015-12-14 13:00:00,12.8
164,2015-12-14 14:00:00,13.2
165,2015-12-14 15:00:00,14.0
166,2015-12-14 16:00:00,12.6
167,2015-12-14 17:00:00,10.9
168,2015-12-14 18:00:00,9.8
169,2015-12-14 19:00:00,9.7
170,2015-12-14 20:00:00,8.8
171,2015-12-14 21:00:00,8.0
172,2015-12-14 22:00:00,7.2
173,2015-12-14 23:00:00,6.8
174,2015-12-15 00:00:00,6.5
175,2015-12-15 01:00:00,6.7
176,2015-12-15 02:00:00,7.2
177,2015-12-15 03:00:00,7.1
178,2015-12-15 04:00:00,6.8
179,2015-12-15 05:00:00,6.3
180,2015-12-15 06:00:00,6.9
181,2015-12-15 07:00:00,6.5
182,2015-12-15 08:00:00,6.2
183,2015-12-15 09:00:00,6.9
184,2015-12-15 10:00:00,8.8
185,2015-12-15 11:00:00,10.3
186,2015-12-15 12:00:00,11.1
187,2015-12-15 13:00:00,12.2
188,2015-12-15 14:00:00,13.3
189,2015-12-15 15:00:00,13.8
190,2015-12-15 16:00:00,13.0
191,2015-12-15 17:00:00,10.5
192,2015-12-15 18:00:00,8.5
193,2015-12-15 19:00:00,7.6
194,2015-12-15 20:00:00,7.0
195,2015-12-15 21:00:00,6.4
196,2015-12-15 22:00:00,6.0
197,2015-12-15 23:00:00,6.9
198,2015-12-16 00:00:00,7.5
199,2015-12-16 01:00:00,7.0
200,2015-12-16 02:00:00,7.4
